starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
Fri Oct 12 19:57:46 2018	1539388666	0	1	1	1
